eps,min_samples,accuracy,silhouette,calinski_harabasz,n_clusters,n_noise
0.4,3,0.6216216216216216,0.4184367354457955,103.9660847338237,10,39
0.4,5,0.7619047619047619,0.48645651184412797,144.10308224057798,6,66
0.4,8,0.5757575757575758,0.5028551694734212,49.25093317050265,2,117
0.5,3,0.6691729323308271,0.2591217055088424,79.54829273989294,7,17
0.5,5,0.7241379310344828,0.6558885287002016,343.9680845935908,2,34
0.5,8,0.967032967032967,0.6028694923383574,280.83535287626614,3,59
0.6,3,0.6737588652482269,0.3451708644569388,118.50469663256182,4,9
0.6,5,0.7096774193548387,0.6418946941661956,330.9165416576153,2,26
0.6,8,0.7203389830508474,0.6483601737862179,329.67757528088697,2,32
0.7,3,0.6827586206896552,0.600152434408338,280.36792482752907,2,5
0.7,5,0.6805555555555556,0.6017954437722106,281.7393478940442,2,6
0.7,8,0.6917293233082706,0.626691929334881,316.61451354441095,2,17
0.8,3,0.678082191780822,0.5979413783542474,277.6509596053884,2,4
0.8,5,0.678082191780822,0.5979413783542474,277.6509596053884,2,4
0.8,8,0.6830985915492958,0.6082503126049682,292.82456590361045,2,8
